ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษา ศาสนาและวัฒนธรรม (02),สุขศึกษาและพลศึกษา (06),ศิลปะ (07),การงานอาชีพและเทคโนโลยี (08),ภาษาอังกฤษ (03)
1,70.50,40.00,43.00,46.00,57.50,49.00,64.00,31.00
2,62.00,35.00,50.00,49.00,58.75,39.00,58.00,21.00
3,52.00,10.00,31.00,31.00,53.75,32.00,34.00,17.00
4,70.00,87.50,63.00,56.00,58.75,36.00,64.00,56.00
5,,,,,,,,
6,77.00,55.00,43.00,57.00,71.25,41.00,62.00,33.00
7,58.00,15.00,27.00,43.00,47.50,36.00,56.00,20.00
8,77.50,35.00,39.00,36.00,76.25,40.00,68.00,28.00
9,48.00,5.00,25.00,35.00,45.00,32.00,48.00,22.00
10,73.00,22.50,36.00,46.00,73.75,49.00,54.00,30.00
11,74.50,42.50,54.00,42.00,63.75,38.00,62.00,40.00
12,63.00,40.00,49.00,47.00,52.50,45.00,72.00,38.00
13,58.50,15.00,29.00,31.00,41.25,27.00,38.00,13.00
14,71.50,47.50,57.00,38.00,58.75,38.00,52.00,46.00
15,58.00,32.50,42.00,35.00,62.50,37.00,54.00,31.00
16,62.00,32.50,46.00,46.00,65.00,43.00,54.00,30.00
17,66.50,20.00,31.00,38.00,68.75,24.00,52.00,27.00
18,52.00,17.50,26.00,44.00,43.75,32.00,68.00,17.00
19,63.00,27.50,31.00,36.00,61.25,30.00,62.00,26.00
20,69.50,25.00,36.00,50.00,72.50,42.00,68.00,40.00
21,77.50,60.00,61.00,68.00,71.25,47.00,82.00,40.00
22,73.00,45.00,53.00,55.00,55.00,47.00,52.00,19.00
23,25.50,20.00,32.00,27.00,36.25,13.00,28.00,15.00
24,52.50,22.50,26.00,33.00,52.50,31.00,44.00,17.00
25,70.00,32.50,34.00,56.00,62.50,43.00,74.00,21.00
26,41.50,25.00,33.00,30.00,47.50,22.00,40.00,19.00
27,46.50,22.50,31.00,36.00,36.25,34.00,42.00,14.00
28,46.00,25.00,30.00,35.00,43.75,35.00,46.00,17.00
29,50.00,12.50,37.00,33.00,48.75,34.00,56.00,22.00
30,70.50,50.00,49.00,48.00,80.00,44.00,50.00,24.00
31,,,,,,,,
32,79.00,55.00,57.00,51.00,60.00,46.00,64.00,40.00
33,66.00,15.00,43.00,39.00,56.25,44.00,56.00,36.00
34,45.00,30.00,31.00,29.00,53.75,23.00,50.00,17.00
35,68.00,20.00,30.00,46.00,52.50,54.00,58.00,36.00
36,62.00,17.50,41.00,50.00,55.00,33.00,56.00,28.00
37,51.50,25.00,26.00,25.00,47.50,33.00,38.00,20.00
38,67.50,22.50,40.00,52.00,55.00,37.00,70.00,42.00
39,72.50,20.00,39.00,52.00,62.50,37.00,56.00,16.00
40,45.50,32.50,32.00,28.00,73.75,32.00,42.00,22.00
41,64.00,35.00,30.00,46.00,46.25,37.00,40.00,18.00
42,41.50,20.00,22.00,28.00,52.50,36.00,58.00,12.00
43,66.50,45.00,38.00,50.00,63.75,41.00,54.00,34.00
44,52.00,22.50,32.00,44.00,38.75,42.00,54.00,18.00
45,36.50,12.50,30.00,29.00,28.75,25.00,46.00,13.00
46,57.00,17.50,33.00,30.00,61.25,36.00,54.00,20.00
47,59.50,12.50,39.00,39.00,53.75,45.00,56.00,21.00
48,54.50,17.50,27.00,48.00,63.75,50.00,52.00,24.00
49,63.50,27.50,32.00,40.00,75.00,36.00,56.00,35.00
50,66.00,5.00,40.00,40.00,56.25,41.00,54.00,68.00
51,61.00,45.00,45.00,46.00,65.00,40.00,68.00,16.00
52,68.00,27.50,41.00,44.00,63.75,34.00,60.00,23.00
53,63.00,20.00,46.00,49.00,58.75,49.00,54.00,14.00
54,75.50,55.00,53.00,53.00,61.25,28.00,56.00,23.00
55,68.50,55.00,49.00,59.00,71.25,45.00,62.00,47.00
56,63.00,55.00,50.00,42.00,53.75,43.00,46.00,47.00
57,57.50,12.50,41.00,44.00,56.25,40.00,62.00,38.00
58,40.50,12.50,29.00,20.00,45.00,31.00,46.00,22.00
59,28.50,12.50,31.00,33.00,55.00,37.00,40.00,14.00
60,,,,,,,,
61,62.00,27.50,42.00,36.00,60.00,43.00,56.00,33.00
62,53.00,20.00,24.00,41.00,51.25,28.00,48.00,17.00
63,32.00,25.00,26.00,29.00,28.75,27.00,12.00,14.00
64,65.50,15.00,36.00,59.00,60.00,43.00,64.00,18.00
65,72.50,100.00,60.00,46.00,72.50,42.00,58.00,37.00
66,41.50,30.00,24.00,31.00,40.00,36.00,56.00,18.00
67,29.50,15.00,28.00,21.00,51.25,24.00,30.00,16.00
68,50.00,25.00,36.00,35.00,41.25,32.00,58.00,21.00
69,75.50,70.00,59.00,57.00,73.75,54.00,64.00,33.00
70,67.00,27.50,33.00,54.00,63.75,38.00,62.00,57.00
71,54.00,7.50,39.00,34.00,66.25,37.00,56.00,28.00
72,40.00,15.00,25.00,38.00,41.25,36.00,40.00,25.00
73,58.00,10.00,34.00,33.00,61.25,44.00,52.00,30.00
74,42.00,10.00,24.00,29.00,40.00,39.00,48.00,18.00
75,49.50,7.50,30.00,24.00,61.25,32.00,36.00,16.00
76,77.00,30.00,37.00,49.00,68.75,50.00,60.00,29.00
77,68.50,17.50,26.00,40.00,71.25,38.00,56.00,40.00
78,58.50,20.00,29.00,42.00,53.75,38.00,60.00,20.00
79,68.50,55.00,47.00,54.00,72.50,37.00,62.00,35.00
80,64.50,32.50,47.00,52.00,47.50,37.00,56.00,26.00
