ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษาฯ (02),ภาษาอังกฤษ (03)
1,66.50,35.00,41.00,40.00,41.00
2,72.00,60.00,46.00,59.00,32.00
3,69.00,52.50,47.00,54.00,34.00
4,51.50,27.50,37.00,38.00,18.00
5,49.00,22.50,39.00,43.00,16.00
6,65.00,42.50,29.00,47.00,16.00
7,58.00,45.00,39.00,50.00,20.00
8,37.00,17.50,34.00,24.00,16.00
9,67.50,30.00,30.00,47.00,29.00
10,53.50,40.00,44.00,33.00,26.00
11,68.00,35.00,42.00,46.00,29.00
12,71.00,45.00,46.00,49.00,47.00
13,64.50,35.00,46.00,43.00,29.00
14,42.50,35.00,31.00,38.00,20.00
15,41.50,22.50,37.00,35.00,25.00
16,69.00,75.00,38.00,41.00,50.00
17,47.50,27.50,33.00,39.00,10.00
18,30.00,17.50,26.00,25.00,21.00
19,56.00,25.00,33.00,31.00,15.00
20,63.00,45.00,49.00,48.00,19.00
21,48.50,35.00,32.00,43.00,21.00
22,65.50,37.50,38.00,46.00,37.00
23,39.00,20.00,29.00,29.00,22.00
24,56.50,35.00,43.00,49.00,27.00
25,75.00,42.50,42.00,48.00,18.00
26,72.50,62.50,40.00,45.00,66.00
27,58.00,20.00,32.00,24.00,16.00
28,67.50,30.00,34.00,37.00,33.00
29,62.00,20.00,39.00,53.00,32.00
30,72.00,67.50,54.00,44.00,55.00
31,46.00,10.00,39.00,36.00,23.00
32,65.00,12.50,48.00,40.00,26.00
33,70.00,20.00,45.00,48.00,65.00
34,58.00,20.00,40.00,47.00,21.00
35,62.50,22.50,29.00,39.00,43.00
36,73.00,75.00,61.00,52.00,55.00
37,26.50,15.00,22.00,35.00,19.00
38,56.50,22.50,34.00,49.00,27.00
39,53.00,32.50,48.00,29.00,21.00
40,53.50,5.00,44.00,50.00,25.00
41,66.00,22.50,38.00,40.00,28.00
42,78.00,75.00,54.00,50.00,63.00
43,48.00,30.00,28.00,41.00,24.00
44,65.50,50.00,54.00,37.00,38.00
45,68.50,47.50,44.00,44.00,25.00
46,62.50,60.00,57.00,51.00,34.00
47,55.50,15.00,40.00,33.00,32.00
48,73.50,45.00,53.00,62.00,26.00
49,33.50,32.50,32.00,28.00,21.00
50,42.50,27.50,33.00,32.00,20.00
51,70.50,30.00,40.00,40.00,33.00
52,58.00,20.00,30.00,42.00,16.00
53,62.00,30.00,36.00,45.00,22.00
54,51.50,17.50,32.00,47.00,27.00
55,59.50,20.00,32.00,36.00,19.00
56,73.00,25.00,35.00,52.00,32.00
57,74.50,35.00,41.00,47.00,42.00
58,57.00,20.00,22.00,39.00,19.00
59,46.50,25.00,28.00,31.00,19.00
60,,,,,
61,49.00,32.50,41.00,48.00,21.00
62,55.50,52.50,42.00,41.00,42.00
63,45.50,12.50,34.00,43.00,21.00
64,62.50,20.00,34.00,40.00,32.00
65,49.50,17.50,37.00,29.00,21.00
66,75.00,57.50,42.00,46.00,64.00
67,63.50,55.00,50.00,48.00,26.00
68,59.00,15.00,34.00,38.00,22.00
69,45.50,35.00,35.00,44.00,13.00
70,58.00,22.50,33.00,47.00,17.00
71,33.50,22.50,31.00,46.00,21.00
72,75.00,42.50,43.00,54.00,29.00
73,74.50,47.50,42.00,54.00,27.00
74,50.00,40.00,33.00,42.00,25.00
75,71.50,32.50,51.00,55.00,59.00
76,27.50,17.50,26.00,28.00,13.00
77,52.50,27.50,38.00,50.00,41.00
78,49.50,72.50,42.00,42.00,20.00
79,69.50,47.50,53.00,49.00,57.00
80,51.50,42.50,42.00,43.00,36.00
81,67.50,32.50,43.00,51.00,48.00
82,66.50,62.50,46.00,41.00,40.00
83,84.50,57.50,51.00,48.00,86.00
84,47.00,12.50,32.00,43.00,18.00
85,60.50,45.00,43.00,43.00,35.00
86,54.00,35.00,37.00,45.00,14.00
87,22.00,32.50,22.00,49.00,23.00
88,70.00,37.50,37.00,46.00,38.00
89,45.50,12.50,32.00,49.00,27.00
90,57.50,17.50,34.00,37.00,38.00
91,60.50,25.00,37.00,36.00,22.00
92,42.50,17.50,28.00,41.00,19.00
93,80.50,82.50,61.00,53.00,51.00
94,69.50,60.00,52.00,53.00,49.00
95,69.50,62.50,51.00,43.00,70.00
96,61.50,45.00,46.00,50.00,28.00
97,73.00,65.00,45.00,47.00,29.00
98,52.00,37.50,33.00,35.00,17.00
99,55.00,20.00,36.00,39.00,16.00
100,20.50,22.50,28.00,29.00,16.00
101,92.50,97.50,77.00,70.00,79.00
102,23.50,12.50,35.00,32.00,20.00
103,45.00,22.50,41.00,39.00,30.00
104,72.00,72.50,45.00,43.00,28.00
105,23.50,7.50,26.00,18.00,20.00
106,38.50,27.50,26.00,38.00,23.00
107,60.00,22.50,31.00,40.00,41.00
108,62.50,12.50,36.00,43.00,30.00
109,57.50,17.50,36.00,33.00,56.00
110,73.50,40.00,52.00,46.00,16.00
111,55.50,40.00,49.00,48.00,34.00
112,47.00,27.50,27.00,43.00,23.00
113,62.50,42.50,44.00,38.00,51.00
114,65.00,32.50,44.00,50.00,28.00
115,62.50,52.50,56.00,49.00,38.00
116,59.00,45.00,42.00,39.00,24.00
117,58.00,42.50,28.00,39.00,24.00
118,48.50,35.00,33.00,43.00,30.00
119,36.50,22.50,36.00,46.00,21.00
120,74.50,40.00,56.00,45.00,45.00
121,83.50,52.50,47.00,53.00,79.00
122,50.00,27.50,38.00,44.00,21.00
123,56.00,37.50,37.00,46.00,27.00
124,64.00,25.00,34.00,44.00,23.00
125,55.50,17.50,28.00,44.00,19.00
126,29.00,10.00,42.00,30.00,9.00
127,55.50,17.50,24.00,45.00,17.00
128,43.50,30.00,36.00,38.00,13.00
129,67.50,35.00,31.00,39.00,30.00
130,44.50,27.50,45.00,37.00,20.00
131,33.50,15.00,29.00,32.00,22.00
132,36.50,20.00,26.00,38.00,20.00
133,52.50,27.50,42.00,47.00,39.00
134,65.50,25.00,45.00,56.00,15.00
135,70.00,47.50,41.00,45.00,34.00
